LIBELLE;COMMUNE;DEPARTEMEN;X_WGS84;Y_WGS84
Rive-de-Gier;RIVE-DE-GIER;LOIRE;4.606590608322465;45.52441080442122
Aiguillon;AIGUILLON;LOT-ET-GARONNE;0.335088190663227;44.29876017586198
Damblain;DAMBLAIN;VOSGES;5.656347039138558;48.09380678341434
Lamotte-Beuvron;LAMOTTE-BEUVRON;LOIR-ET-CHER;2.021745208670846;47.595988032342866
St-Junien;SAINT-JUNIEN;HAUTE-VIENNE;0.900404655614266;45.88137862112438
Bouilly-Roncenay;RONCENAY;AUBE;4.058283261027769;48.195345673895545
Dives-sur-Mer-Port-Guillaume;DIVES-SUR-MER;CALVADOS;-0.100875407999264;49.291027308934474
Aubusson;AUBUSSON;CREUSE;2.160766800262103;45.96053639366277
Saubusse-les-Bains;SAUBUSSE;LANDES;-1.190278050445025;43.66023352899588
Batz-sur-Mer;BATZ-SUR-MER;LOIRE-ATLANTIQUE;-2.479068344361024;47.280949556005034
Moulin-Galant;CORBEIL-ESSONNES;ESSONNE;2.473539962733294;48.58616345487804
Montaut-Betharram;MONTAUT;PYRENEES-ATLANTIQUES;-0.198106129619514;43.12666357843489
Gilly-sur-Loire;GILLY-SUR-LOIRE;SAONE-ET-LOIRE;3.782078688484614;46.537250248153086
Lavilletertre;LAVILLETERTRE;OISE;1.920731577030679;49.20261024930564
Tremolat;TREMOLAT;DORDOGNE;0.830416345032821;44.862330588438276
Langeac;LANGEAC;HAUTE-LOIRE;3.490565120059909;45.10107825695581
Souillac;SOUILLAC;LOT;1.466052524801962;44.90233983892782
St-Jodard;SAINT-JODARD;LOIRE;4.125226849910813;45.88584160067725
Pagny-sur-Meuse;PAGNY-SUR-MEUSE;MEUSE;5.735490402202477;48.69607193152515
Anche-Voulon;ANCHE;VIENNE;0.250202849905561;46.34973860615874
Froncles;FRONCLES;HAUTE-MARNE;5.141558242377115;48.296767634744015
Poix-de-Picardie;POIX-DE-PICARDIE;SOMME;1.989866923165017;49.777922790961775
Carnoet-Locarn;LOCARN;COTES-D'ARMOR;-3.490519380665913;48.3403989627636
Savy-Berlette;SAVY-BERLETTE;PAS-DE-CALAIS;2.558040120070211;50.353883727498975
Les Trillers;VAUX;ALLIER;2.599907234080537;46.41455303110547
Mennessis;MENNESSIS;AISNE;3.270320909384112;49.69194346032663
Wambaix;WAMBAIX;NORD;3.311230613377989;50.13385784297831
Porchefontaine;VERSAILLES;YVELINES;2.151756215590128;48.79657256409816
Nancois-Tronville;NANCOIS-SUR-ORNAIN;MEUSE;5.291378086944519;48.71786860549125
